BGC,rSMR_0,rSMR_1,rSMR_2,rSMR_3,rSMR_4,rSMR_5,rSMR_6,rSMR_7
BGmw_OR1,0,0,0.5,1.5,2,3.5,5.5,7.5
BGmw_WA1,0,0,0,0.5,1,2.5,4.5,7
BGwm_WA1,0,0,1,1.5,2,4,5.5,7.5
BGxh_WA1,0,0,0,0,0.5,2,4,6.5
BGxh11,0,0,0,0.5,1,2.5,4.5,7
BGxh21,0,0,0,0.5,1.5,3,5,7
BGxh31,0,0,0.5,1,2,3.5,5.5,7.5
BGxw11,0,0,0.5,1,2,3.5,5.5,7.5
BGxw21,0,0,1,1.5,2,4,5.5,7.5
BGxx_WY1,0,0,0,0,0.5,2,4,6.5
BGxxx_WY1,0,0,0,0,0.5,2,4,6.5
BSJPap1,0.5,1,2,2.5,3,5,6,8
BSJPku1,0.5,1,2,2.5,3,5,6,8
BSJPpa1,0.5,1,1.5,2.5,3,4.5,6,8
BWBScmC1,0.5,1.5,2,2.5,3,5,6,8
BWBScmE1,0.5,1.5,2,2.5,3,5,6,8
BWBScmNW1,0.5,1,1.5,2.5,3,4.5,6,8
BWBScmW1,1,1.5,2.5,3,3.5,5,6,8
BWBSdk1,1.5,2,3,3.5,4,5.5,6.5,8
BWBSdmN1,0.5,1,1.5,2.5,3,4.5,6,8
BWBSdmS1,0.5,1,2,2.5,3,5,6,8
BWBSlbE1,1,1.5,2,2.5,3.5,5,6,8
BWBSlbN1,0.5,1.5,2,2.5,3,5,6,8
BWBSlbW1,0.5,1.5,2,2.5,3,5,6,8
BWBSlf1,1.5,2,2.5,3,4,5.5,6.5,8
BWBSmk1,1,1.5,2.5,3,3.5,5,6,8
BWBSmw1,1,1.5,2,3,3.5,5,6,8
BWBSnm1,0.5,1,2,2.5,3,5,6,8
BWBSpp1,0.5,1,2,2.5,3,5,6,8
BWBSub1,1,1.5,2.5,3,3.5,5,6,8
BWBSuf1,1.5,2.5,3,3.5,4,5.5,6.5,8
BWBSvk1,3,4,4.5,5,6,6.5,8,8
BWBSwk11,2,2.5,3,4,4.5,5.5,7,8
BWBSwk21,1.5,2,2.5,3.5,4,5.5,6.5,8
BWBSwk31,2,2.5,3,3.5,4.5,5.5,7,8
CCHun_CA1,0,0,0,0,0.5,2,4,6.5
CDFmm1,2,2.5,3,3.5,4.5,5.5,7,8
CDFmm_OR1,1,1.5,2,3,3.5,5,6,8
CDFmm_WA1,1.5,2.5,3,3.5,4,5.5,6.5,8
CDFxm_CA1,0,0,1,1.5,2,4,5.5,7.5
CMAun1,3,4,4.5,5,6,6.5,8,8
CMAun_CA1,1,1.5,2.5,3,3.5,5,6,8
CMAun_OR1,2.5,3,3.5,4,5,6,7,8
CMAun_WA1,3,3.5,4,5,5.5,6.5,7.5,8
CMAwh1,3.5,4,4.5,5,6,7,8,8
CMXdm_OR1,0,0.5,1.5,2,2.5,4.5,5.5,7.5
CMXmm_OR1,0.5,1,1.5,2,3,4.5,6,8
CMXwm_OR1,0.5,1.5,2,2.5,3,5,6,8
CMXxm_CA1,0,0,1,1.5,2,4,5.5,7.5
CRFdh_CA1,0,0.5,1.5,2,2.5,4.5,5.5,7.5
CVGdm_CA1,0,0,0,0,0,1,3,5.5
CWFdm_OR1,0.5,1,1.5,2.5,3,4.5,6,8
CWFds_CA1,0.5,1,1.5,2.5,3,4.5,6,8
CWFmm_OR1,1,1.5,2.5,3,3.5,5,6,8
CWFwm_OR1,1,2,2.5,3,3.5,5,6,8
CWHdm_OC1,2,3,3.5,4,4.5,6,7,8
CWHdm_OR1,1.5,2,3,3.5,4,5.5,6.5,8
CWHdm_WA1,2,3,3.5,4,4.5,6,7,8
CWHdm_WC1,2.5,3,3.5,4,5,6,7,8
CWHdm11,2,3,3.5,4,4.5,6,7,8
CWHdm21,2.5,3,4,4.5,5,6,7,8
CWHdm31,2.5,3.5,4,4.5,5,6,7,8
CWHds_WA1,2,2.5,3,3.5,4.5,5.5,7,8
CWHds11,2.5,3,3.5,4,5,6,7,8
CWHds21,2,2.5,3,4,4.5,5.5,7,8
CWHmh_OR1,2,2.5,3,3.5,4.5,5.5,7,8
CWHmm11,2.5,3.5,4,4.5,5,6,7,8
CWHmm21,2.5,3.5,4,4.5,5,6,7,8
CWHms_OR1,2,2.5,3.5,4,4.5,6,7,8
CWHms_WA1,2,2.5,3.5,4,4.5,6,7,8
CWHms11,2.5,3.5,4,4.5,5,6,7,8
CWHms21,3,3.5,4,4.5,5.5,6.5,7.5,8
CWHms31,2,3,3.5,4,4.5,6,7,8
CWHvh_WA1,2.5,3.5,4,4.5,5,6,7,8
CWHvh11,3,4,4.5,5,6,6.5,8,8
CWHvh21,3,4,4.5,5,6,6.5,8,8
CWHvh31,3,4,4.5,5,6,6.5,8,8
CWHvm_OR1,2.5,3,3.5,4,5,6,7,8
CWHvm_WA1,2.5,3.5,4,4.5,5,6,7,8
CWHvm11,3,3.5,4.5,5,5.5,6.5,7.5,8
CWHvm21,3,3.5,4.5,5,5.5,6.5,7.5,8
CWHvm31,3,4,4.5,5,5.5,6.5,8,8
CWHvm41,3,4,4.5,5,6,6.5,8,8
CWHwh_OR1,2.5,3,3.5,4,5,6,7,8
CWHwh_WA1,2.5,3,4,4.5,5,6,7,8
CWHwh11,3,3.5,4.5,5,5.5,6.5,7.5,8
CWHwh21,3,4,4.5,5,6,6.5,8,8
CWHwm1,3,3.5,4,5,5.5,6.5,7.5,8
CWHws11,2.5,3,4,4.5,5,6,7,8
CWHws21,3,3.5,4,4.5,5.5,6.5,7.5,8
CWHws31,3,3.5,4,4.5,5.5,6.5,7.5,8
CWHxm_OR1,1.5,2,2.5,3,4,5.5,6.5,8
CWHxm_WA1,1.5,2,3,3.5,4,5.5,6.5,8
CWHxs1,1.5,2.5,3,3.5,4,5.5,6.5,8
ESSFabC1,3,3.5,4,4.5,5.5,6.5,7.5,8
ESSFabE1,2,2.5,3,3.5,4.5,5.5,7,8
ESSFabN1,3,3.5,4,4.5,5.5,6.5,7.5,8
ESSFabS1,2.5,3,4,4.5,5,6,7,8
ESSFdc11,2.5,3.5,4,4.5,5,6,7,8
ESSFdc21,2.5,3,3.5,4.5,5,6,7,8
ESSFdc31,2,2.5,3,4,4.5,5.5,7,8
ESSFdcp1,3,3.5,4,4.5,5.5,6.5,7.5,8
ESSFdcw1,3,3.5,4,4.5,5.5,6.5,7.5,8
ESSFdh_WA1,1.5,2.5,3,3.5,4,5.5,6.5,8
